Field_Number,Field_Name,HTML_Type,Input_Name,Supabase_Column,Data_Type,Required,Default_Value,Category,Generated_By_JS,Mapped_To_DB,Notes
1,location,Textarea,location,N/A,TEXT,Yes,NULL,Location,No,❌ NO,"Full address or location description - CRITICAL UNMAPPED REQUIRED FIELD"
2,what3words,Text Input,what3words,N/A,TEXT,No,NULL,Location,No,❌ NO,"what3words address (e.g., ///filled.count.soap) - UNMAPPED"
3,nearest_landmark,Text Input,nearestlandmark,N/A,TEXT,No,NULL,Location,No,❌ NO,"Nearest landmark or notable feature - UNMAPPED"
4,junction_type,Select Dropdown,junctiontype,junction_type,TEXT,Yes,NULL,Junction,No,✅ YES,"Junction type selection - MAPPED"
5,junction_control,Select Dropdown,junctioncontrol,traffic_controls,TEXT,Conditional,NULL,Junction,No,⚠️ MISMATCH,"What controlled junction - FIELD NAME MISMATCH (frontend: junction_control, backend: traffic_controls)"
6,traffic_light_status,Select Dropdown,trafficlightstatus,N/A,TEXT,Conditional,NULL,Junction,No,❌ NO,"Traffic light colour for user's direction - UNMAPPED"
7,user_manoeuvre,Select Dropdown,usermanoeuvre,N/A,TEXT,Conditional,NULL,Junction,No,❌ NO,"User's manoeuvre at time of collision - UNMAPPED"
8,visibility_clear,Checkbox,visibilityfactors,N/A,BOOLEAN,No,FALSE,Visibility,No,❌ NO,"Clear visibility - no issues - UNMAPPED"
9,visibility_restricted_structure,Checkbox,visibilityfactors,N/A,BOOLEAN,No,FALSE,Visibility,No,❌ NO,"Restricted by hedge, wall, or fence - UNMAPPED"
10,visibility_restricted_bend,Checkbox,visibilityfactors,N/A,BOOLEAN,No,FALSE,Visibility,No,❌ NO,"Restricted by bend or corner - UNMAPPED"
11,visibility_large_vehicle,Checkbox,visibilityfactors,N/A,BOOLEAN,No,FALSE,Visibility,No,❌ NO,"Large vehicle obstructing view - UNMAPPED"
12,visibility_sun_glare,Checkbox,visibilityfactors,N/A,BOOLEAN,No,FALSE,Visibility,No,❌ NO,"Sun glare or low sun - UNMAPPED"
13,special_condition_roadworks,Checkbox,specialconditions,special_conditions (JSONB),BOOLEAN,No,FALSE,Special Conditions,No,✅ YES,"Roadworks or construction - MAPPED (as array element)"
14,special_condition_workmen,Checkbox,specialconditions,special_conditions (JSONB),BOOLEAN,No,FALSE,Special Conditions,No,✅ YES,"Workmen in road - MAPPED (as array element)"
15,special_condition_cyclists,Checkbox,specialconditions,special_conditions (JSONB),BOOLEAN,No,FALSE,Special Conditions,No,✅ YES,"Cyclists in road - MAPPED (as array element)"
16,special_condition_pedestrians,Checkbox,specialconditions,special_conditions (JSONB),BOOLEAN,No,FALSE,Special Conditions,No,✅ YES,"Pedestrians in road - MAPPED (as array element)"
17,special_condition_traffic_calming,Checkbox,specialconditions,special_conditions (JSONB),BOOLEAN,No,FALSE,Special Conditions,No,✅ YES,"Traffic calming measures - MAPPED (as array element)"
18,special_condition_parked_vehicles,Checkbox,specialconditions,special_conditions (JSONB),BOOLEAN,No,FALSE,Special Conditions,No,✅ YES,"Parked vehicles obstructing view - MAPPED (as array element)"
19,special_condition_crossing,Checkbox,specialconditions,special_conditions (JSONB),BOOLEAN,No,FALSE,Special Conditions,No,✅ YES,"Near pedestrian crossing - MAPPED (as array element)"
20,special_condition_school_zone,Checkbox,specialconditions,special_conditions (JSONB),BOOLEAN,No,FALSE,Special Conditions,No,✅ YES,"School zone or playground area - MAPPED (as array element)"
21,special_condition_narrow_road,Checkbox,specialconditions,special_conditions (JSONB),BOOLEAN,No,FALSE,Special Conditions,No,✅ YES,"Narrow road or single-track - MAPPED (as array element)"
22,special_condition_potholes,Checkbox,specialconditions,special_conditions (JSONB),BOOLEAN,No,FALSE,Special Conditions,No,✅ YES,"Pot holes and road defects - MAPPED (as array element)"
23,special_condition_oil_spills,Checkbox,specialconditions,special_conditions (JSONB),BOOLEAN,No,FALSE,Special Conditions,No,✅ YES,"Oil spills - MAPPED (as array element)"
24,special_condition_animals,Checkbox,specialconditions,special_conditions (JSONB),BOOLEAN,No,FALSE,Special Conditions,No,✅ YES,"Animals in road - MAPPED (as array element)"
25,additional_hazards,Textarea,additionalhazards,N/A,TEXT,No,NULL,Hazards,No,❌ NO,"Additional hazards or conditions description - UNMAPPED"
26,session_id,N/A (Generated),N/A,N/A,TEXT,No,NULL,System,Yes,No (Photo Service),"temp_session_id for photo finalization - Used by locationPhotoService, not stored in incident_reports"
27,map_screenshot_captured,N/A (Generated),N/A,N/A,BOOLEAN,No,FALSE,System,Yes,No (Frontend Only),"Flag indicating if map screenshot was captured - Frontend tracking only"
28,completed_at,N/A (Generated),N/A,N/A,TIMESTAMP,No,NULL,System,Yes,No (sessionStorage),"JavaScript-generated timestamp (new Date().toISOString()) - sessionStorage only"
